All rectangles
begin	end	length	x1	x2
15	18	2	423	425
13	18	3	952	955
13	15	2	-1	-1
8	9	1	877	878
13	18	2	-1	-1
13	18	4	700	704
13	18	2	975	977
13	18	3	967	970
8	13	1	750	751
8	18	6	36	42
14	15	3	884	887
8	18	3	157	160
9	16	1	869	870
10	15	1	923	924
13	17	3	-1	-1
8	13	5	582	587
13	18	1	-1	-1
8	17	4	343	347
8	18	3	187	190
8	17	4	335	339
12	17	2	779	781
10	15	2	921	923
8	13	1	757	758
13	18	1	-1	-1
9	13	6	904	910
8	18	4	74	78
13	18	4	616	620
8	18	2	237	239
13	18	2	-1	-1
15	16	1	440	441
8	18	2	235	237
8	9	3	871	874
13	16	1	-1	-1
8	18	2	229	231
13	17	7	-1	-1
13	18	4	624	628
10	15	7	830	837
13	18	6	561	567
13	15	7	-1	-1
13	18	2	-1	-1
8	16	2	404	406
13	14	1	-1	-1
13	18	1	-1	-1
8	18	3	211	214
13	17	2	-1	-1
8	13	1	759	760
8	13	2	704	706
8	12	1	787	788
13	18	1	-1	-1
8	11	4	795	799
8	13	10	495	505
8	14	1	480	481
13	18	1	-1	-1
13	18	8	511	519
13	18	2	-1	-1
8	18	1	298	299
8	18	3	208	211
13	18	2	-1	-1
16	17	1	372	373
9	13	5	910	915
8	10	4	829	833
8	13	2	696	698
9	14	2	901	903
13	15	2	-1	-1
8	13	3	647	650
8	13	8	514	522
9	12	3	915	918
8	18	4	98	102
16	17	3	369	372
12	17	1	943	944
15	17	8	425	433
13	18	2	-1	-1
13	18	3	939	942
11	12	1	946	947
8	13	2	692	694
8	18	3	202	205
12	18	1	773	774
8	15	7	419	426
12	17	3	774	777
8	18	3	199	202
11	17	4	795	799
8	9	6	849	855
13	18	6	573	579
13	18	4	620	624
13	15	4	-1	-1
8	17	3	353	356
8	13	1	758	759
8	13	4	591	595
15	18	2	421	423
13	18	3	716	719
8	10	3	839	842
8	18	1	295	296
8	18	4	102	106
13	17	3	-1	-1
8	13	3	635	638
13	18	2	-1	-1
8	18	5	64	69
8	18	3	193	196
8	18	1	296	297
13	18	3	740	743
8	13	2	732	734
13	18	2	-1	-1
8	18	3	190	193
8	13	1	765	766
13	18	2	-1	-1
8	18	6	30	36
8	14	1	483	484
9	17	2	863	865
8	13	9	505	514
8	18	2	273	275
8	9	1	876	877
12	18	5	767	772
13	16	4	-1	-1
15	16	6	434	440
13	18	4	628	632
13	18	2	-1	-1
8	16	1	418	419
8	18	2	275	277
8	18	3	160	163
11	13	4	939	943
8	18	3	184	187
8	12	1	789	790
12	14	1	951	952
8	13	2	728	730
8	13	1	743	744
9	14	4	893	897
8	18	4	130	134
14	17	4	469	473
8	13	1	744	745
8	15	2	453	455
13	18	2	-1	-1
8	13	3	623	626
8	9	4	860	864
13	18	3	764	767
8	16	2	398	400
13	18	2	-1	-1
8	13	3	632	635
13	18	2	-1	-1
13	18	2	-1	-1
8	18	3	178	181
8	13	2	734	736
8	13	2	688	690
8	16	2	402	404
16	18	3	366	369
13	18	7	541	548
13	18	1	-1	-1
8	18	1	310	311
8	13	3	671	674
13	18	2	995	997
13	18	2	993	995
13	14	3	-1	-1
8	13	1	764	765
8	13	2	686	688
13	18	2	991	993
8	15	3	436	439
8	16	3	389	392
13	18	4	608	612
13	18	3	749	752
13	18	2	913	915
15	17	1	433	434
8	13	3	680	683
13	18	3	910	913
8	18	1	297	298
13	18	1	-1	-1
8	15	2	447	449
8	13	2	700	702
17	18	5	319	324
8	18	3	172	175
8	18	3	169	172
13	18	2	977	979
8	13	4	603	607
11	16	7	802	809
8	13	1	761	762
13	18	7	548	555
8	13	3	677	680
13	18	3	907	910
13	16	6	-1	-1
13	18	3	904	907
8	14	3	469	472
11	12	3	943	946
8	13	6	560	566
8	18	3	163	166
8	10	6	823	829
8	11	2	812	814
13	18	3	761	764
8	18	7	16	23
13	18	1	-1	-1
13	18	4	676	680
13	18	4	672	676
10	15	5	837	842
8	15	1	458	459
13	18	2	-1	-1
9	16	4	865	869
8	13	4	599	603
12	17	2	781	783
8	15	2	445	447
11	17	3	799	802
8	18	1	303	304
8	10	2	847	849
14	15	8	876	884
8	13	2	720	722
8	13	4	611	615
8	18	2	283	285
13	18	3	752	755
13	18	1	-1	-1
13	18	2	-1	-1
8	13	1	746	747
13	18	2	-1	-1
10	15	1	924	925
13	18	4	660	664
13	18	3	746	749
13	18	2	-1	-1
12	17	2	915	917
13	18	4	652	656
11	16	6	809	815
13	18	3	743	746
13	18	1	-1	-1
13	18	4	640	644
9	14	2	897	899
8	13	2	714	716
8	10	2	845	847
8	18	3	166	169
13	15	3	-1	-1
8	18	5	59	64
13	18	2	-1	-1
8	13	3	683	686
8	18	1	299	300
8	16	1	415	416
13	18	1	-1	-1
8	11	3	806	809
8	18	4	78	82
12	17	2	785	787
8	13	3	674	677
8	13	2	730	732
13	18	8	519	527
8	12	2	779	781
8	12	2	781	783
13	15	3	-1	-1
13	18	2	-1	-1
8	18	2	269	271
10	13	3	925	928
13	18	7	534	541
8	12	2	777	779
8	13	1	752	753
8	18	3	175	178
13	18	1	-1	-1
13	18	1	999	1000
8	13	3	668	671
8	16	2	408	410
13	18	2	-1	-1
8	13	3	626	629
8	18	1	308	309
11	18	5	790	795
8	18	2	281	283
8	13	8	530	538
11	16	2	932	934
8	18	2	279	281
8	9	5	855	860
8	13	1	747	748
8	18	3	181	184
12	18	1	772	773
17	18	4	324	328
8	14	1	484	485
10	17	4	816	820
8	13	4	587	591
8	18	2	277	279
13	14	1	-1	-1
14	16	4	872	876
14	17	2	473	475
8	18	1	305	306
13	18	2	-1	-1
8	9	3	868	871
13	18	1	-1	-1
8	13	2	740	742
13	18	1	-1	-1
17	18	2	343	345
13	18	6	555	561
17	18	4	328	332
8	16	2	400	402
8	13	2	738	740
14	16	9	475	484
8	10	3	836	839
8	14	1	482	483
8	13	3	629	632
13	18	4	680	684
8	18	6	48	54
8	15	2	451	453
8	18	3	196	199
8	17	3	350	353
8	15	3	430	433
13	15	3	-1	-1
8	11	4	799	803
12	17	1	917	918
9	14	1	903	904
12	16	2	945	947
10	15	2	847	849
13	18	4	692	696
8	12	2	785	787
8	15	2	455	457
13	18	3	719	722
8	13	2	690	692
8	18	2	263	265
8	11	1	815	816
11	16	1	936	937
13	18	4	604	608
13	16	2	-1	-1
13	18	2	973	975
8	14	1	481	482
8	18	2	261	263
8	18	3	205	208
8	18	2	259	261
8	16	3	395	398
13	18	8	503	511
9	18	4	854	858
13	15	2	-1	-1
8	13	1	763	764
8	13	2	702	704
13	18	2	989	991
9	18	2	861	863
8	18	4	82	86
8	13	2	706	708
13	18	2	987	989
8	13	3	650	653
8	13	3	653	656
8	11	3	809	812
8	15	1	460	461
10	17	1	820	821
13	16	4	-1	-1
8	18	2	233	235
8	18	2	241	243
8	13	2	710	712
13	15	5	-1	-1
13	18	1	-1	-1
8	17	1	365	366
13	18	9	494	503
9	11	3	918	921
13	18	5	594	599
8	18	1	311	312
13	18	4	648	652
8	11	3	803	806
8	13	3	656	659
13	18	5	579	584
8	13	2	716	718
13	18	2	-1	-1
8	15	2	441	443
13	18	3	734	737
8	18	2	245	247
12	17	1	789	790
13	18	3	758	761
13	18	4	696	700
13	17	3	-1	-1
8	16	3	392	395
13	15	5	-1	-1
8	18	7	23	30
13	18	4	704	708
8	15	4	426	430
8	13	1	742	743
8	18	3	148	151
13	18	2	-1	-1
13	18	2	-1	-1
13	18	2	-1	-1
8	17	2	360	362
13	18	4	708	712
13	18	4	712	716
8	18	3	142	145
13	15	2	-1	-1
8	18	4	118	122
8	13	6	566	572
13	16	1	-1	-1
13	18	4	612	616
12	17	2	777	779
8	18	8	8	16
13	16	2	-1	-1
13	14	4	-1	-1
8	17	5	318	323
8	16	2	412	414
8	13	2	726	728
8	18	2	289	291
8	13	1	754	755
8	18	2	287	289
11	16	1	920	921
8	13	1	755	756
13	16	6	-1	-1
8	16	1	416	417
13	18	2	-1	-1
14	18	2	461	463
8	18	2	257	259
13	18	3	755	758
8	18	3	214	217
13	18	2	-1	-1
13	14	5	-1	-1
13	17	3	-1	-1
8	13	5	577	582
8	18	1	294	295
8	15	2	443	445
13	18	3	731	734
13	18	2	-1	-1
8	9	2	874	876
13	16	2	-1	-1
8	14	1	479	480
8	18	2	243	245
12	14	4	947	951
8	18	2	231	233
14	17	6	463	469
10	15	5	842	847
13	18	2	981	983
8	18	4	86	90
8	13	3	644	647
8	16	4	385	389
8	17	4	339	343
8	18	8	0	8
8	18	5	54	59
13	17	4	-1	-1
13	18	3	737	740
8	18	1	302	303
8	13	1	748	749
8	13	2	736	738
13	17	5	-1	-1
13	18	3	728	731
8	18	3	226	229
8	17	1	364	365
13	18	2	-1	-1
8	18	1	304	305
8	18	2	249	251
13	18	3	722	725
8	13	5	572	577
