All rectangles
Begin,End,Length,x1,x2
32,42,3,69,72
32,37,6,303,309
40,42,6,351,357
38,41,2,250,252
8,18,4,62,66
13,18,8,289,297
8,13,1,255,256
35,38,2,-1,-1
8,11,2,-1,-1
32,42,6,29,35
8,18,2,136,138
37,42,1,335,336
13,18,7,312,319
37,42,5,275,280
8,10,7,-1,-1
32,41,4,174,178
8,18,1,173,174
39,41,1,-1,-1
8,11,3,-1,-1
32,33,82,-1,-1
32,37,1,-1,-1
8,18,3,118,121
32,42,2,121,123
13,18,2,256,258
16,18,4,-1,-1
32,41,4,186,190
10,17,4,-1,-1
8,12,2,-1,-1
37,42,5,260,265
13,18,4,-1,-1
32,39,3,224,227
32,42,2,129,131
8,18,2,140,142
32,41,2,193,195
37,42,2,325,327
8,18,8,0,8
8,13,5,298,303
9,18,2,-1,-1
33,40,1,378,379
32,33,4,361,365
8,9,3,248,251
8,13,2,365,367
8,13,4,307,311
32,37,3,352,355
32,37,1,-1,-1
41,42,4,-1,-1
39,41,1,-1,-1
37,42,7,253,260
13,18,9,263,272
38,41,1,358,359
8,18,3,124,127
8,13,3,350,353
35,40,1,-1,-1
32,42,2,131,133
8,13,2,369,371
8,16,5,205,210
8,18,3,133,136
32,37,9,263,272
32,37,8,288,296
33,38,1,379,380
8,13,3,347,350
10,17,1,-1,-1
37,42,3,320,323
8,16,1,224,225
8,13,1,-1,-1
15,18,1,227,228
8,13,1,-1,-1
33,38,2,369,371
8,18,3,127,130
32,34,4,-1,-1
14,17,4,-1,-1
17,18,36,-1,-1
8,13,3,335,338
35,40,2,-1,-1
37,42,1,332,333
8,18,2,142,144
32,35,3,-1,-1
32,42,8,0,8
32,41,2,195,197
12,17,1,-1,-1
13,18,6,326,332
32,37,3,343,346
13,18,7,305,312
32,38,3,244,247
32,40,2,217,219
16,18,9,215,224
32,42,3,75,78
13,18,4,-1,-1
8,16,4,210,214
32,37,4,339,343
32,42,2,135,137
8,18,4,66,70
8,17,2,193,195
14,15,1,-1,-1
15,18,2,225,227
13,18,2,258,260
17,18,9,177,186
8,13,7,281,288
17,18,4,228,232
32,42,1,160,161
13,18,5,350,355
13,18,4,-1,-1
32,37,2,-1,-1
12,17,2,-1,-1
13,18,9,272,281
37,42,1,329,330
11,16,2,-1,-1
32,39,2,231,233
32,42,3,78,81
32,42,5,35,40
38,42,1,246,247
8,13,8,273,281
8,13,2,371,373
16,18,12,-1,-1
8,13,3,332,335
16,17,3,237,240
8,18,3,112,115
39,41,2,238,240
41,42,6,370,376
10,13,3,-1,-1
37,42,4,296,300
32,42,2,139,141
36,37,2,-1,-1
37,42,5,270,275
8,13,5,288,293
8,18,6,28,34
32,42,2,133,135
8,14,1,-1,-1
8,18,4,82,86
39,42,2,224,226
32,35,5,-1,-1
32,37,1,-1,-1
8,18,3,94,97
32,37,3,-1,-1
41,42,14,336,350
8,18,1,171,172
32,37,4,335,339
13,18,4,-1,-1
32,40,1,223,224
13,18,8,297,305
34,39,2,-1,-1
8,18,1,174,175
8,14,1,-1,-1
32,42,3,96,99
13,18,6,332,338
8,13,2,373,375
32,40,2,213,215
8,13,2,375,377
8,13,1,252,253
32,37,1,-1,-1
38,41,2,248,250
32,42,3,111,114
14,16,6,-1,-1
13,18,6,338,344
33,38,7,361,368
33,37,5,-1,-1
38,42,2,244,246
32,42,3,93,96
35,41,3,-1,-1
32,39,2,229,231
14,17,1,-1,-1
32,36,1,-1,-1
8,18,2,166,168
8,17,2,195,197
13,18,4,367,371
13,18,4,363,367
8,18,5,45,50
16,18,13,-1,-1
39,40,4,371,375
9,16,4,-1,-1
14,15,3,-1,-1
8,17,1,198,199
37,41,4,347,351
32,39,2,235,237
8,13,2,377,379
8,18,1,170,171
38,42,4,240,244
37,42,1,330,331
8,10,6,-1,-1
15,17,8,228,236
32,40,4,201,205
33,38,2,371,373
32,42,3,90,93
9,10,37,-1,-1
32,42,3,84,87
32,42,2,119,121
9,14,2,-1,-1
13,18,3,-1,-1
13,18,8,281,289
32,39,2,227,229
32,40,2,219,221
10,15,5,-1,-1
11,16,5,-1,-1
32,42,1,164,165
8,16,1,223,224
17,18,7,186,193
32,37,7,296,303
10,15,9,-1,-1
8,13,2,353,355
8,16,6,199,205
37,42,4,312,316
13,18,1,379,380
32,38,1,250,251
8,18,3,103,106
32,42,2,137,139
32,40,4,197,201
32,42,3,99,102
32,35,3,-1,-1
9,11,3,-1,-1
8,15,4,232,236
32,37,4,315,319
32,40,2,215,217
16,18,1,224,225
32,33,3,-1,-1
8,16,2,219,221
16,18,6,-1,-1
32,37,2,-1,-1
34,35,3,-1,-1
8,17,3,190,193
8,18,3,109,112
15,17,1,236,237
8,18,1,172,173
8,13,1,253,254
13,18,1,260,261
38,39,8,370,378
8,18,4,90,94
32,37,4,319,323
32,37,1,-1,-1
41,42,3,194,197
13,17,7,-1,-1
32,42,1,162,163
36,40,2,-1,-1
8,13,4,303,307
8,10,2,-1,-1
39,41,10,228,238
32,38,1,252,253
37,42,4,316,320
8,17,3,187,190
32,37,2,-1,-1
32,42,1,158,159
32,37,2,-1,-1
32,37,4,323,327
17,18,1,198,199
41,42,20,165,185
8,18,2,146,148
32,33,2,371,373
32,34,3,-1,-1
8,13,2,367,369
32,42,1,156,157
32,42,3,72,75
8,13,3,320,323
13,18,4,371,375
37,42,1,331,332
8,17,6,177,183
11,12,3,-1,-1
15,16,12,-1,-1
34,35,3,-1,-1
8,15,1,-1,-1
32,42,4,57,61
32,42,1,154,155
32,41,3,190,193
32,36,2,-1,-1
40,41,4,-1,-1
8,12,1,-1,-1
8,18,2,138,140
32,42,6,23,29
9,13,6,-1,-1
37,42,2,323,325
37,42,4,304,308
8,18,4,58,62
32,37,2,-1,-1
15,16,3,-1,-1
32,36,4,-1,-1
8,13,2,359,361
41,42,2,-1,-1
32,37,2,-1,-1
16,18,4,248,252
8,14,3,-1,-1
32,42,1,159,160
13,18,3,-1,-1
17,18,2,235,237
32,42,2,123,125
8,18,3,100,103
32,38,1,251,252
8,18,6,22,28
32,40,3,208,211
8,13,3,317,320
37,40,7,351,358
8,15,2,-1,-1
32,38,4,240,244
8,13,1,254,255
41,42,1,350,351
13,18,6,344,350
8,17,4,183,187
8,18,6,34,40
32,37,2,-1,-1
32,42,4,45,49
32,42,2,151,153
32,40,1,222,223
13,18,7,319,326
8,14,4,-1,-1
13,18,4,-1,-1
32,41,4,178,182
34,39,7,-1,-1
13,18,4,-1,-1
32,39,1,239,240
32,42,1,155,156
8,13,3,314,317
34,35,23,-1,-1
41,42,4,376,380
32,42,3,114,117
8,13,3,311,314
8,18,2,148,150
8,16,2,217,219
13,18,4,-1,-1
32,37,8,280,288
8,14,1,251,252
8,16,3,214,217
35,40,1,-1,-1
8,18,2,168,170
37,42,4,292,296
32,36,2,-1,-1
32,38,3,247,250
8,18,2,164,166
38,39,1,379,380
38,40,1,369,370
32,37,1,-1,-1
39,40,19,-1,-1
8,18,4,50,54
10,11,4,-1,-1
8,13,1,379,380
32,34,3,-1,-1
8,18,2,158,160
41,42,54,-1,-1
8,18,5,40,45
40,41,4,-1,-1
41,42,4,-1,-1
39,42,2,226,228
13,18,4,355,359
32,42,3,102,105
8,15,1,-1,-1
11,16,6,-1,-1
32,33,1,379,380
32,37,3,355,358
32,37,1,-1,-1
15,16,2,-1,-1
32,42,4,61,65
8,10,3,-1,-1
13,18,4,359,363
32,42,3,108,111
35,37,4,-1,-1
32,42,3,105,108
32,40,2,211,213
8,13,10,263,273
32,42,1,163,164
32,35,1,-1,-1
32,37,2,-1,-1
8,18,7,15,22
8,18,4,86,90
32,37,2,-1,-1
32,37,3,-1,-1
40,41,13,367,380
32,37,2,-1,-1
32,42,2,141,143
36,42,1,-1,-1
16,17,1,-1,-1
8,11,4,243,247
32,35,4,-1,-1
34,39,5,-1,-1
8,18,7,8,15
11,16,7,-1,-1
32,42,3,87,90
8,12,2,-1,-1
37,42,1,334,335
33,38,8,-1,-1
