All rectangles
Begin,End,Length,x1,x2
10,14,5,800,805
13,14,1,-1,-1
9,10,9,728,737
13,16,6,843,849
10,13,6,838,844
13,15,7,-1,-1
8,9,9,480,489
13,15,9,-1,-1
13,14,8,-1,-1
13,16,7,829,836
9,12,5,684,689
8,10,1,448,449
10,11,7,928,935
16,17,4,980,984
14,15,5,-1,-1
9,10,6,799,805
10,18,1,403,404
8,16,8,85,93
13,17,5,295,300
8,10,6,413,419
13,15,2,-1,-1
9,10,8,754,762
12,14,5,-1,-1
8,16,1,145,146
16,17,5,955,960
8,10,2,439,441
15,17,2,914,916
8,14,6,213,219
12,15,1,886,887
16,18,3,444,447
11,16,9,695,704
10,11,1,972,973
12,14,3,-1,-1
11,14,9,920,929
10,15,2,761,763
10,14,1,820,821
13,15,8,-1,-1
13,14,8,-1,-1
16,17,9,628,637
16,17,8,696,704
13,14,2,-1,-1
10,14,1,821,822
8,16,3,138,141
9,17,5,495,500
13,14,7,-1,-1
11,12,6,-1,-1
10,11,1,971,972
13,18,1,276,277
8,9,4,584,588
9,10,1,820,821
12,16,8,687,695
8,16,8,93,101
16,18,7,111,118
10,13,1,854,855
8,12,3,335,338
15,16,2,-1,-1
9,11,5,722,727
12,14,7,-1,-1
15,17,6,883,889
10,18,4,395,399
16,17,4,664,668
10,11,6,935,941
16,18,4,142,146
14,15,4,-1,-1
8,17,6,35,41
11,12,3,-1,-1
11,12,2,-1,-1
11,13,4,996,1000
16,18,5,132,137
14,16,9,810,819
14,15,1,-1,-1
9,10,1,821,822
11,13,5,-1,-1
16,17,2,992,994
15,17,2,916,918
14,18,5,226,231
8,10,1,446,447
11,13,2,-1,-1
15,18,2,567,569
12,16,5,870,875
10,11,5,951,956
16,17,7,859,866
15,17,6,754,760
16,17,3,522,525
16,18,1,451,452
8,9,6,533,539
14,15,5,-1,-1
11,15,1,918,919
14,16,1,969,970
11,14,2,985,987
9,16,2,521,523
16,18,8,103,111
9,13,5,656,661
9,13,6,650,656
14,18,2,246,248
9,15,7,551,558
13,15,9,-1,-1
8,10,1,449,450
13,15,9,-1,-1
8,9,6,539,545
15,16,5,-1,-1
14,18,9,197,206
16,17,6,938,944
11,14,6,969,975
13,15,5,-1,-1
10,11,9,887,896
9,11,5,712,717
9,15,9,525,534
10,11,2,967,969
15,18,5,535,540
8,15,9,164,173
14,15,1,-1,-1
15,16,8,-1,-1
14,15,8,-1,-1
12,13,8,-1,-1
9,13,1,667,668
16,17,2,998,1000
12,14,8,-1,-1
10,11,7,914,921
13,16,2,992,994
11,17,4,379,383
13,15,6,-1,-1
11,15,1,919,920
11,16,4,708,712
16,18,9,67,76
8,9,4,580,584
9,10,7,778,785
8,14,4,231,235
16,18,5,424,429
14,15,1,-1,-1
14,16,3,959,962
8,10,1,450,451
14,16,3,962,965
12,13,1,-1,-1
14,18,7,206,213
16,17,5,950,955
13,17,4,300,304
13,14,4,-1,-1
15,16,7,-1,-1
12,17,9,335,344
14,17,6,770,776
16,17,1,-1,-1
13,14,7,-1,-1
12,17,2,681,683
8,10,3,434,437
9,13,2,664,666
11,13,6,-1,-1
13,16,5,663,668
9,17,8,465,473
14,15,2,-1,-1
10,16,5,728,733
9,18,1,464,465
9,13,1,666,667
13,14,1,-1,-1
8,9,5,571,576
10,12,7,864,871
13,18,2,274,276
8,9,6,545,551
8,9,2,609,611
13,16,9,628,637
11,18,2,349,351
10,12,2,883,885
15,16,6,-1,-1
14,17,4,801,805
11,12,2,-1,-1
12,14,5,-1,-1
13,17,9,278,287
11,12,3,-1,-1
8,10,1,452,453
11,12,5,-1,-1
15,18,1,575,576
14,15,1,-1,-1
11,12,5,-1,-1
8,13,3,297,300
15,18,4,549,553
11,12,5,-1,-1
10,14,1,819,820
13,16,8,655,663
9,16,3,515,518
8,10,9,390,399
13,17,4,623,627
8,17,4,55,59
8,9,8,506,514
8,10,1,445,446
8,16,6,108,114
13,14,1,-1,-1
16,18,7,125,132
8,12,1,343,344
12,13,7,-1,-1
8,9,7,514,521
10,16,4,737,741
13,14,1,-1,-1
16,17,7,817,824
16,17,3,751,754
10,11,1,974,975
15,18,3,559,562
10,16,6,441,447
15,16,1,-1,-1
8,9,4,592,596
15,17,1,971,972
16,18,4,433,437
13,14,9,-1,-1
16,17,7,810,817
10,14,4,810,814
8,10,2,437,439
16,17,9,504,513
8,9,5,551,556
10,12,1,886,887
8,11,5,363,368
15,18,7,184,191
8,15,9,146,155
8,12,2,338,340
11,17,6,368,374
10,11,5,946,951
9,10,6,805,811
13,14,6,-1,-1
10,11,7,921,928
13,15,1,-1,-1
12,16,1,882,883
13,17,4,619,623
12,14,2,-1,-1
16,17,7,831,838
11,12,4,-1,-1
12,13,2,-1,-1
14,16,6,935,941
9,10,2,818,820
10,16,4,733,737
9,10,1,822,823
12,13,1,-1,-1
13,16,7,822,829
16,17,4,960,964
15,18,2,571,573
8,12,1,341,342
8,16,3,135,138
9,15,6,558,564
9,13,3,661,664
8,13,6,280,286
15,16,9,-1,-1
12,15,8,-1,-1
14,16,2,965,967
8,9,1,612,613
8,10,2,443,445
14,18,3,243,246
12,13,2,-1,-1
8,15,8,173,181
8,10,2,441,443
13,17,3,304,307
8,11,5,378,383
9,11,5,707,712
9,18,6,453,459
8,12,1,345,346
12,17,1,685,686
14,17,7,763,770
8,17,3,63,66
9,12,4,689,693
11,13,3,-1,-1
14,17,8,608,616
14,17,1,809,810
8,13,1,304,305
15,16,9,972,981
12,15,5,-1,-1
13,15,8,-1,-1
10,14,1,818,819
16,17,7,845,852
8,9,5,566,571
8,11,5,368,373
13,18,8,248,256
8,9,3,602,605
13,16,2,994,996
10,13,4,848,852
14,15,6,-1,-1
8,15,4,191,195
13,14,1,-1,-1
14,17,6,776,782
16,17,7,852,859
14,18,6,220,226
11,14,5,980,985
15,16,8,-1,-1
9,13,9,628,637
15,16,7,-1,-1
10,12,8,856,864
8,11,1,388,389
8,14,6,219,225
16,18,4,437,441
16,18,4,429,433
15,16,3,-1,-1
10,18,4,399,403
14,16,7,928,935
14,15,8,-1,-1
8,17,5,46,51
14,16,3,819,822
8,17,7,28,35
9,14,9,585,594
14,18,1,589,590
15,16,7,-1,-1
13,18,3,271,274
8,16,9,76,85
16,17,2,968,970
15,16,7,-1,-1
8,13,8,257,265
10,11,4,960,964
10,13,2,852,854
9,10,4,811,815
12,15,1,885,886
12,17,2,344,346
13,16,1,998,999
8,10,1,447,448
15,16,9,-1,-1
8,13,1,306,307
15,17,3,911,914
16,17,4,972,976
8,14,4,235,239
14,17,5,782,787
8,16,5,125,130
14,15,4,-1,-1
15,16,8,-1,-1
14,15,6,-1,-1
9,10,8,770,778
9,11,1,727,728
9,14,4,614,618
15,16,5,-1,-1
13,18,4,264,268
9,14,4,610,614
14,18,2,585,587
12,15,1,-1,-1
10,12,3,877,880
13,14,7,-1,-1
10,17,3,420,423
16,18,9,85,94
12,14,8,-1,-1
13,16,2,854,856
8,17,7,7,14
11,15,5,907,912
10,14,7,788,795
11,13,7,-1,-1
11,17,9,352,361
9,14,8,602,610
14,16,8,920,928
16,17,6,944,950
8,17,1,66,67
10,15,1,452,453
8,9,3,596,599
16,17,8,704,712
15,18,5,191,196
9,16,5,510,515
9,14,1,618,619
15,18,3,553,556
12,13,1,-1,-1
10,16,4,745,749
14,16,5,947,952
11,12,8,-1,-1
16,18,1,502,503
8,17,4,51,55
9,15,3,581,584
8,16,9,67,76
12,18,1,334,335
15,18,7,170,177
13,16,2,996,998
13,16,7,836,843
15,17,4,907,911
10,12,3,880,883
11,15,5,902,907
9,15,5,564,569
15,18,2,569,571
13,16,2,990,992
12,15,8,-1,-1
15,18,5,530,535
8,9,6,521,527
16,18,3,441,444
12,16,4,875,879
14,15,2,-1,-1
11,12,1,-1,-1
10,14,1,817,818
11,13,9,987,996
8,9,2,607,609
15,16,8,-1,-1
13,16,9,637,646
14,17,4,797,801
12,17,1,684,685
14,18,2,587,589
14,15,2,-1,-1
10,14,9,772,781
15,16,7,-1,-1
15,17,6,712,718
8,14,1,247,248
14,18,7,213,220
14,15,8,-1,-1
16,17,1,-1,-1
10,11,3,964,967
12,13,6,-1,-1
12,17,7,668,675
11,14,8,938,946
13,16,5,849,854
9,13,6,644,650
8,11,8,355,363
16,17,1,-1,-1
12,15,6,-1,-1
15,17,5,889,894
9,16,9,501,510
13,14,9,-1,-1
8,9,9,462,471
16,17,8,736,744
15,18,1,452,453
11,15,5,912,917
12,15,2,883,885
10,16,4,741,745
13,14,4,-1,-1
16,17,4,976,980
8,16,5,120,125
12,14,9,-1,-1
10,12,1,885,886
16,17,7,824,831
16,17,6,866,872
9,16,1,523,524
14,15,3,-1,-1
14,17,1,618,619
8,10,7,399,406
10,14,5,805,810
9,17,1,500,501
10,13,8,822,830
8,9,9,453,462
10,13,8,830,838
8,16,5,130,135
13,17,1,627,628
16,18,5,137,142
14,16,6,941,947
15,16,6,-1,-1
12,18,1,333,334
11,15,1,917,918
8,9,9,489,498
16,17,2,-1,-1
15,16,6,-1,-1
8,17,7,21,28
9,10,8,746,754
13,15,3,-1,-1
16,17,6,872,878
9,12,9,668,677
16,17,9,655,664
8,11,2,385,387
14,15,9,-1,-1
8,9,3,599,602
8,9,9,471,480
15,17,4,899,903
8,11,2,383,385
16,18,1,503,504
9,11,6,701,707
12,13,3,-1,-1
8,10,4,423,427
9,10,3,815,818
16,17,3,987,990
16,18,1,501,502
13,14,2,-1,-1
9,13,9,619,628
14,18,4,235,239
10,11,5,941,946
14,17,9,599,608
15,16,6,-1,-1
13,15,9,-1,-1
16,18,9,76,85
15,18,9,146,155
8,14,3,243,246
15,16,7,-1,-1
9,15,1,584,585
8,15,5,181,186
14,15,6,-1,-1
11,12,1,-1,-1
14,15,5,-1,-1
9,17,7,481,488
13,18,8,256,264
15,16,4,-1,-1
16,17,4,964,968
16,18,3,387,390
11,14,5,975,980
11,14,9,929,938
9,18,4,459,463
14,16,1,968,969
11,13,1,-1,-1
15,17,6,718,724
12,18,7,322,329
8,10,4,419,423
10,11,1,973,974
9,15,8,543,551
10,16,8,433,441
